,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,сертификат_на_фотографа,сертификат_на_тренера,статус_погашения,card_used_date,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
920,24338157,Успешно_реализовано,8500.0,2023-05-18 17:59:46,2023-05-18 18:40:00,,,"Полет_на_параплане_(Варианты:_Полет_с_инструктором_с_воздушным_пилотажем_для_двоих,_Бумажный_или_электронный:_Бумажный)_-_1x8500_=_8500",8500.0,8500.0,8500,Параплан,P2G_244659,,,,,Погашен,2023-11-07,,P2G,244659,P2G,paper,design1,sold_used,8500.0,,,,,2023-11-07
934,24346325,Успешно_реализовано,5000.0,2023-05-19 22:03:59,2023-05-20 14:35:00,500.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",5000.0,4500.0,5000,Параплан,P1G_284469,,,,,,,,P1G,284469,P1G,paper,design1,,4500.0,,,,,
998,24384409,Успешно_реализовано,8000.0,2023-05-24 15:53:28,2023-05-26 18:51:00,,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,8000,Мото_Мотокросс,MT2_132372,,,,,Погашен,2023-07-10,,MT2,132372,MT2,paper,design1,sold_used,8000.0,,,,,2023-07-10
1070,24417825,Успешно_реализовано,8000.0,2023-05-29 17:32:18,2023-05-31 17:54:00,0.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,8000,Мото_Мотокросс,MT2_119979,,,,,Погашен,2023-09-21,,MT2,119979,MT2,paper,design1,sold_used,8000.0,,,,,2023-09-21
1080,24429971,Успешно_реализовано,8450.0,2023-05-30 20:38:59,2023-05-31 18:15:00,450.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8450.0,8000.0,8450,Мото_Мотокросс,MT2_134589,,,,,Погашен,2023-10-08,,MT2,134589,MT2,paper,design1,sold_used,8000.0,,,,,2023-10-08
1082,24430983,Успешно_реализовано,5100.0,2023-05-31 06:07:31,2023-05-31 17:48:00,600.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",5100.0,4500.0,5100,Параплан,P1G_216041,,,,,Погашен,2023-09-24,,P1G,216041,P1G,paper,design1,sold_used,4500.0,,,,,2023-09-24
1122,24020499,Успешно_реализовано,16000.0,2023-06-04 12:49:36,2023-06-04 15:50:00,,,"Полет_на_параплане_(Варианты:_Курс_«Первый_сам»,_Бумажный_или_электронный:_Бумажный)_-_1x16000_=_16000",16000.0,16000.0,16000,Параплан,PS_273504,,,,,,,,PS,273504,PS,paper,design1,,16000.0,,,,,
1134,24237543,Успешно_реализовано,22500.0,2023-06-05 14:53:08,2023-07-05 16:07:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x22500_=_22500",22500.0,22500.0,22500,Парашюты,SP_257474,,,,,,,,SP,257474,SP,paper,design1,,22500.0,,,,,
1136,24238873,Успешно_реализовано,36000.0,2023-06-05 19:53:18,2023-11-05 16:05:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_для_двоих,_Бумажный_или_электронный:_Бумажный)_-_1x36000_=_36000",36000.0,36000.0,36000,Парашюты,S2_242676,,,,,,,,S2,242676,S2,paper,design1,,36000.0,,,,,
1162,24742863,Успешно_реализовано,6800.0,2023-06-07 17:10:17,2023-10-07 16:00:00,0.0,,"Подарочный_сертификатна_вейк_за_катером_(Выберите_тип:_30_минут_Mastercraft_-_5_300_руб._,_Тренер:_30_минут_с_тренером)_-_1x6800_=_6800",6800.0,6800.0,6800,Вейксёрф_и_вейк_за_катером,WS30T_015033,,,,,,,,WS30T,015033,WS30T,paper,design1,,6800.0,,,,,
1173,25242983,Успешно_реализовано,8000.0,2023-06-09 08:53:01,2023-08-09 12:59:00,0.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,8000,Мото_Мотокросс,MT2_234909,,,,,Погашен,2023-08-10,,MT2,234909,MT2,paper,design1,sold_used,8000.0,,,,,2023-08-10
1216,24570999,Успешно_реализовано,5500.0,2023-06-15 14:42:49,2023-06-15 15:54:00,0.0,,"Вейк_за_катером_(Варианты:_30_минут_Mastercraft,_Бумажный_или_электронный:_Электронный_(высылаем_в_течение_часа),_Тренер:_Без_тренера)_-_1x5500_=_5500",5500.0,5500.0,5500,Вейксёрф_и_вейк_за_катером,WVS30_3342064,,,,,,,,WVS30,3342064,WVS30,paper,design1,,5500.0,,,,,
1238,24579679,Успешно_реализовано,20000.0,2023-06-16 17:13:41,2023-06-17 14:22:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x20000_=_20000",20000.0,20000.0,20000,Парашюты,S_239266,,,,,Погашен,2023-04-09,,S,239266,S,paper,design1,sold_used,20000.0,,,,,2023-04-09
1248,24580533,Успешно_реализовано,9150.0,2023-06-16 19:11:24,2023-06-20 19:14:00,0.0,,"Полет_на_параплане_(Варианты:_Полет_с_инструктором_с_воздушным_пилотажем_для_двоих,_Бумажный_или_электронный:_Бумажный)_-_1x8500_=_8500",8500.0,8500.0,9150,Параплан,P2G_228874,,,,,,,,P2G,228874,P2G,paper,design1,,8500.0,,,,,
1269,24586831,Успешно_реализовано,3950.0,2023-06-18 11:28:30,2023-06-19 17:38:00,450.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3950.0,3500.0,3950,Параплан,P1_217554,,,,,,,,P1,217554,P1,paper,design1,,3500.0,,,,,
1287,24595813,Успешно_реализовано,3500.0,2023-06-19 16:14:22,2023-06-20 18:05:00,0.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3500,Параплан,P1_267802,,,,,Погашен,2023-07-23,,P1,267802,P1,paper,design1,sold_used,3500.0,,,,,2023-07-23
1301,24602387,Успешно_реализовано,3500.0,2023-06-20 13:25:02,2023-06-21 23:00:00,,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3500,Параплан,P1_249821,,,,,Погашен,2023-07-16,,P1,249821,P1,paper,design1,sold_used,3500.0,,,,,2023-07-16
1302,24722323,Успешно_реализовано,3500.0,2023-06-20 13:49:06,2023-04-07 13:06:00,,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3500,Параплан,P1_279243,,,,,Погашен,2023-07-16,,P1,279243,P1,paper,design1,sold_used,3500.0,,,,,2023-07-16
1329,24618253,Успешно_реализовано,8450.0,2023-06-22 08:44:04,2023-06-24 10:17:00,450.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8450.0,8000.0,8450,Мото_Мотокросс,MT2_134137,,,,,,,,MT2,134137,MT2,paper,design1,,8000.0,,,,,
1353,24633293,Успешно_реализовано,3500.0,2023-06-23 14:28:57,2023-06-25 12:27:00,0.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3500,Параплан,P1_241827,,,,,Погашен,2023-08-14,,P1,241827,P1,paper,design1,sold_used,3500.0,,,,,2023-08-14
1357,24635545,Успешно_реализовано,20450.0,2023-06-23 16:52:41,2023-06-27 00:35:00,450.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x20000_=_20000",20450.0,20000.0,20450,Парашюты,S_239977,,,,,Погашен,2023-03-10,,S,239977,S,paper,design1,sold_used,20000.0,,,,,2023-03-10
1384,24646143,Успешно_реализовано,12450.0,2023-06-25 13:37:06,2023-03-07 09:52:00,,,"Заезд_на_Дрифт_Трайке_(Варианты:_Заезд_40_минут_на_двоих,_Бумажный_или_электронный:_Бумажный)_-_1x12000_=_12000",12000.0,12000.0,12450,Мото_Дрифт-трайк,DT240_298073,,,,,,,,DT240,298073,DT240,paper,design1,,12000.0,,,,,
1436,24676049,Успешно_реализовано,8000.0,2023-06-29 12:06:05,2023-01-07 10:58:00,0.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,8000,Мото_Мотокросс,MT2_187035,,,,,Погашен,2023-12-08,,MT2,187035,MT2,paper,design1,sold_used,8000.0,,,,,2023-12-08
1549,25256543,Успешно_реализовано,20000.0,2023-07-09 14:19:27,2023-08-09 12:59:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x20000_=_20000",20000.0,20000.0,20000,Парашюты,S_256950,,,,,Погашен,2023-09-15,,S,256950,S,paper,design1,sold_used,20000.0,,,,,2023-09-15
1639,24832147,Успешно_реализовано,8450.0,2023-07-17 16:03:04,2023-07-20 15:59:00,450.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8450.0,8000.0,8450,Мото_Мотокросс,MT2_213097,,,,,,,,MT2,213097,MT2,paper,design1,,8000.0,,,,,
1680,24864753,Успешно_реализовано,14450.0,2023-07-20 19:26:27,2023-07-27 23:48:00,450.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000;_
Заезд_на_Дрифт_Трайке_(Варианты:_Заезд_40_минут_на_одного,_Бумажный_или_электронный:_Бумажный)_-_1x6000_=_6000",14450.0,14000.0,14450,Мото_Мотокросс,MT2_246506,,,,,Погашен,2023-06-10,,MT2,246506,MT2,paper,design1,sold_used,8000.0,,,,,2023-06-10
1689,24869285,Успешно_реализовано,4500.0,2023-07-21 14:31:06,2023-07-25 18:54:00,0.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",4500.0,4500.0,4500,Параплан,P2G_280747,,,,,,,,P2G,280747,P2G,paper,design1,,4500.0,,,,,
1721,24887781,Успешно_реализовано,20600.0,2023-07-24 13:53:16,2023-07-25 12:08:00,600.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x20000_=_20000",20600.0,20000.0,20600,Парашюты,S_270658,,,,,,,,S,270658,S,paper,design1,,20000.0,,,,,
1742,24907967,Успешно_реализовано,20000.0,2023-07-26 13:42:36,2023-07-27 11:29:00,0.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x20000_=_20000",20000.0,20000.0,20000,Парашюты,S_271298,,,,,Погашен,2023-10-18,,S,271298,S,paper,design1,sold_used,20000.0,,,,,2023-10-18
1773,24929171,Успешно_реализовано,37000.0,2023-07-28 16:07:02,2023-07-28 20:58:00,600.0,,"Прыжок_с_парашютом_(Варианты:_Программа_«Знакомство_с_небом»,_Бумажный_или_электронный:_Бумажный)_-_1x36400_=_36400",37000.0,36400.0,37000,Парашюты,S2_270165,,,,,,,,S2,270165,S2,paper,design1,,36400.0,,,,,
1802,24957679,Успешно_реализовано,7000.0,2023-07-31 15:32:13,2023-01-08 12:37:00,0.0,,"Полет_на_параплане_(Варианты:_Мини_курс_«Второй_пилот»,_Бумажный_или_электронный:_Бумажный)_-_1x7000_=_7000",7000.0,7000.0,7000,Параплан,P1P_258678,,,,,Погашен,2023-09-24,,P1P,258678,P1P,paper,design1,sold_used,7000.0,,,,,2023-09-24
1815,24032107,Успешно_реализовано,9000.0,2023-08-04 01:36:15,2023-09-04 15:43:00,,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,9000,Мото_Мотокросс,MT2_171952,,,,,,,,MT2,171952,MT2,paper,design1,,8000.0,,,,,
1821,24243357,Успешно_реализовано,6500.0,2023-08-05 18:21:18,2023-07-05 19:27:00,,,"Полет_на_параплане_(Варианты:_2_полета_с_инструктором_(для_двоих),_Бумажный_или_электронный:_Бумажный)_-_1x6500_=_6500",6500.0,6500.0,6500,Параплан,P2_271268,,,,,,,,P2,271268,P2,paper,design1,,6500.0,,,,,
1982,25129475,Успешно_реализовано,4100.0,2023-08-21 16:53:11,2023-08-21 20:31:00,600.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",4100.0,3500.0,4100,Параплан,P1_243458,,,,,,,,P1,243458,P1,paper,design1,,3500.0,,,,,
1994,25146621,Успешно_реализовано,8450.0,2023-08-23 12:20:46,2023-08-26 15:13:00,450.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8450.0,8000.0,8450,Мото_Мотокросс,MT2_235005,,,,,,,,MT2,235005,MT2,paper,design1,,8000.0,,,,,
2092,24253453,Успешно_реализовано,18350.0,2023-09-05 20:46:12,2023-11-05 11:16:00,350.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x18000_=_18000",18350.0,18000.0,18350,Парашюты,S_229627,,,,,,,,S,229627,S,paper,design1,,18000.0,,,,,
2150,25269783,Успешно_реализовано,0.0,2023-09-09 15:57:03,2023-12-09 14:16:00,,,,,,,Параплан,P1P_274453,#25269385,,,,,,,P1P,274453,P1P,paper,design1,,7000.0,,,,,
2171,25309063,Успешно_реализовано,8000.0,2023-09-14 11:37:36,2023-09-19 19:57:00,0.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,8000,Мото_Мотокросс,MT2_239255,,,,,,,,MT2,239255,MT2,paper,design1,,8000.0,,,,,
2188,25333629,Успешно_реализовано,3950.0,2023-09-17 14:09:54,2023-09-19 19:58:00,450.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3950.0,3500.0,3950,Параплан,P1_266985,,,,,,,,P1,266985,P1,paper,design1,,3500.0,,,,,
2192,25343971,Успешно_реализовано,25450.0,2023-09-18 17:33:49,2023-09-18 18:30:00,450.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x25000_=_25000",25450.0,25000.0,25450,Парашюты,SC_(SKV)_163041,,,,,,,,SC,(SKV),SC,paper,design1,,25000.0,,,,,
2194,25348855,Успешно_реализовано,20450.0,2023-09-19 11:45:57,2023-09-20 17:36:00,450.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x20000_=_20000",20450.0,20000.0,20450,Парашюты,S_299876,,,,,,,,S,299876,S,paper,design1,,20000.0,,,,,
2214,25381175,Успешно_реализовано,8600.0,2023-09-22 19:20:38,2023-09-25 20:49:00,600.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8600.0,8000.0,8600,Мото_Мотокросс,MT2_262776,,,,,,,,MT2,262776,MT2,paper,design1,,8000.0,,,,,
2265,23655279,Успешно_реализовано,5000.0,2023-10-02 17:14:54,2023-02-16 16:53:00,,,"Фридайвинг_(Варианты:_Индивидуальная_тренировка_для_одного,_Бумажный_или_электронный:_Бумажный)_-_1x5000_=_5000",5000.0,5000.0,5000,Фридайвинг,F1_285299,,,,,,,,F1,285299,F1,paper,design1,,5000.0,,,,,
2269,24048193,Успешно_реализовано,21800.0,2023-10-04 17:11:57,2023-10-04 18:07:00,0.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x21800_=_21800",21800.0,21800.0,21800,Парашюты,SP_267443,,,,,Погашен,2023-09-06,,SP,267443,SP,paper,design1,sold_used,21800.0,,,,,2023-09-06
2274,24198426,Успешно_реализовано,36400.0,2023-10-05 14:57:02,2023-05-13 11:08:00,350.0,,"Прыжок_с_парашютом_(Варианты:_Программа_«Знакомство_с_небом»,_Бумажный_или_электронный:_Бумажный)_-_1x36400_=_36400",36750.0,36400.0,36400,Парашюты,ST_255112,,,,,Погашен,2023-08-17,,ST,255112,ST,paper,design1,sold_used,36400.0,,,,,2023-08-17
2283,24529985,Успешно_реализовано,4500.0,2023-10-06 02:17:12,2023-10-06 14:43:00,,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,4500,Параплан,P1G_292925,,,,,,,,P1G,292925,P1G,paper,design1,,3500.0,,,,,
2330,25054307,Успешно_реализовано,4100.0,2023-10-08 19:57:25,2023-12-08 14:53:00,600.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",4100.0,3500.0,4100,Параплан,P1_267866,,,,,,,,P1,267866,P1,paper,design1,,3500.0,,,,,
2336,25274579,Успешно_реализовано,12000.0,2023-10-09 17:46:57,2023-10-09 18:23:00,0.0,,"Заезд_на_Дрифт_Трайке_(Варианты:_Заезд_40_минут_на_двоих,_Бумажный_или_электронный:_Бумажный)_-_1x12000_=_12000",12000.0,12000.0,12000,Мото_Дрифт-трайк,DT240_4117020,,,,,Погашен,2023-09-23,,DT240,4117020,DT240,paper,design1,sold_used,12000.0,,,,,2023-09-23
2339,25570745,Успешно_реализовано,8000.0,2023-10-10 13:15:39,2023-11-10 14:41:00,0.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,8000,Мото_Мотокросс,MT2_256383,,,,,,,,MT2,256383,MT2,paper,design1,,8000.0,,,,,
2377,25752281,Успешно_реализовано,50600.0,2023-10-21 16:22:17,2023-10-23 17:25:00,600.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_для_двоих_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x50000_=_50000",50600.0,50000.0,50600,Парашюты,SP2_216673,,,,,,,,SP2,216673,SP2,paper,design1,,50000.0,,,,,
2382,22023447,Успешно_реализовано,5600.0,2023-10-23 20:15:23,2022-06-19 23:24:00,600.0,,"Фридайвинг_(Варианты:_Индивидуальная_тренировка_для_одного,_Бумажный_или_электронный:_Бумажный)_-_1x5000_=_5000",5600.0,5000.0,5600,Фридайвинг,F1_258067,,,,,,,,F1,258067,F1,paper,design1,,5000.0,,,,,
2405,25833061,Успешно_реализовано,50000.0,2023-10-29 12:48:19,2023-10-29 23:00:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_для_двоих_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x50000_=_50000",50000.0,50000.0,50000,Парашюты,SP2_298320,,,,,Погашен,2023-03-11,,SP2,298320,SP2,paper,design1,sold_used,50000.0,,,,,2023-03-11
2423,24052371,Успешно_реализовано,8000.0,2023-11-04 10:58:46,2023-04-13 15:23:00,0.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,8000,Мото_Мотокросс,MT2_147363,,,,,Погашен,2023-09-16,,MT2,147363,MT2,paper,design1,sold_used,8000.0,,,,,2023-09-16
2424,24053071,Успешно_реализовано,7200.0,2023-11-04 12:11:22,2023-04-13 16:32:00,700.0,,"Роупджампинг_(Варианты:_Прыжок_в_тандеме,_Бумажный_или_электронный:_Бумажный)_-_1x7500_=_7500",8200.0,7500.0,7200,Параплан,P2_267209,,,,,Погашен,2023-11-10,,P2,267209,P2,paper,design1,sold_used,7500.0,,,,,2023-11-10
2450,24790463,Успешно_реализовано,13000.0,2023-11-07 20:52:31,2023-07-14 10:52:00,,,"Флайборд_(Варианты:_30_минут,_Бумажный_или_электронный:_Бумажный)_-_2x6500_=_13000",13000.0,13000.0,13000,Флайборд_/_Ховерборд_/_Ранец,MF_20974,,,,,,,,MF,20974,MF,paper,design1,,0.0,,,,,
2451,24790553,Успешно_реализовано,0.0,2023-11-07 21:16:07,2023-07-14 10:52:00,,,,,,0,Флайборд_/_Ховерборд_/_Ранец,MF_89692,#24790463,,,,,,,MF,89692,MF,paper,design1,,0.0,,,,,
2454,25055469,Успешно_реализовано,20000.0,2023-11-08 02:00:54,2023-08-13 09:38:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x20000_=_20000",20000.0,20000.0,20000,Парашюты,S_273417,,,,,,,,S,273417,S,paper,design1,,20000.0,,,,,
2455,25055471,Успешно_реализовано,20000.0,2023-11-08 02:04:25,2023-08-13 09:38:00,0.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x20000_=_20000",20000.0,20000.0,20000,Парашюты,S_260019,,,,,,,,S,260019,S,paper,design1,,20000.0,,,,,
2458,25057319,Успешно_реализовано,7600.0,2023-11-08 10:59:58,2023-12-08 14:08:00,600.0,,"Полет_на_параплане_(Варианты:_Мини_курс_«Второй_пилот»,_Бумажный_или_электронный:_Бумажный)_-_1x7000_=_7000",7600.0,7000.0,7600,Параплан,P1P_230256,,,,,,,,P1P,230256,P1P,paper,design1,,7000.0,,,,,
2463,25061353,Успешно_реализовано,9000.0,2023-11-08 19:07:04,2023-12-08 14:29:00,,,"Заезд_на_Дрифт_Трайке_(Варианты:_Заезд_30_минут_на_двоих,_Бумажный_или_электронный:_Бумажный)_-_1x9000_=_9000",9000.0,9000.0,9000,Мото_Дрифт-трайк,DT230_288316,,,,,,,,DT230,288316,DT230,paper,design1,,9000.0,,,,,
2502,26032165,Успешно_реализовано,7000.0,2023-11-17 17:30:06,2023-11-18 17:58:00,0.0,,"Полет_на_параплане_(Варианты:_Мини_курс_«Второй_пилот»,_Бумажный_или_электронный:_Бумажный)_-_1x7000_=_7000",7000.0,7000.0,7000,Параплан,P1P_253229,,,,,,,,P1P,253229,P1P,paper,design1,,7000.0,,,,,
2560,23663335,Успешно_реализовано,8350.0,2023-12-02 10:22:07,2023-02-14 06:11:00,350.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8350.0,8000.0,8350,Мото_Мотокросс,MT2_143947,,,,,Погашен,2023-03-03,,MT2,143947,MT2,paper,design1,sold_used,8000.0,,,,,2023-03-03
2581,24287127,Успешно_реализовано,4500.0,2023-12-05 18:23:25,2023-05-16 13:53:00,0.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",4500.0,4500.0,4850,Параплан,P1G_257083,,,,,,,,P1G,257083,P1G,paper,design1,,4500.0,,,,,
2636,24124551,,,2023-04-20 19:16:41,2023-04-20 20:30:00,,,,,,,,'+_5ШТ,,,,,,,,'+,5ШТ,'+,paper,design1,,,,,,,
2681,24592667,,,2023-06-19 11:16:56,2023-06-20 18:04:00,,,,,,,,НЕТ_БУМАЖНОГО,,,,,,,,HET,БУМАЖНОГО,HET,paper,design1,,,,,,,
2770,25045555,,,2023-09-08 21:50:27,2023-11-08 09:20:00,,,,,,,,TR2Х_031444,,,,,,,,TR2X,031444,TR2X,paper,design1,,,,,,,
