,id,amo_id,amo_lead_id,prefix,code,card_type,design_type,status,supplier_payment_date,sale_price,sale_date,expiry_date,card_used_date,created_at,updated_at,deleted_at,number
42,,,24693703,VWS20,VWS20_3415971,electronic,design1,sold_used,2023-10-09,3600.0,2023-01-07 23:00:00,,2023-10-09,,,,3415971
44,,,24962283,EF30,EF30_173522,paper,design1,,,6200.0,2023-01-08 12:01:00,,,,,,173522
55,,,25212865,VWS20,VWS20_4035259,electronic,design1,,,3600.0,2023-01-09 11:29:00,,,,,,4035259
94,,,23521391,VWS20,VWS20_2431777,electronic,design1,sold_used,2023-07-20,3000.0,2023-01-21 20:26:00,,2023-07-20,,,,2431777
139,,,23601589,WS60,WS60_267335,paper,design1,,,,2023-04-02 15:04:00,,,,,,267335
157,,,24203595,VWSN60,VWSN60_2931338,electronic,design1,sold_used,2023-03-09,10000.0,2023-03-05 08:13:00,,2023-03-09,,,,2931338
179,,,24708927,WS20,WS20_116557,paper,design1,sold_used,2023-11-07,3300.0,2023-03-07 18:52:00,,2023-11-07,,,,116557
182,,,24970021,VWS60,VWS60_3737994,electronic,design1,,,10200.0,2023-02-08 10:35:00,,,,,,3737994
194,,,24975785,WS60,WS60_283297,paper,design1,,,,2023-06-08 09:53:00,,,,,,283297
222,,,23670527,VWS60,VWS60_2526079,electronic,design1,sold_used,2023-07-22,8500.0,2023-02-13 14:46:00,,2023-07-22,,,,2526079
249,,,23703937,SN1X1,SN1X1_116859,paper,design1,sold_used,2023-03-03,0.0,2023-02-20 09:58:00,,2023-03-03,,,,116859
254,,,23706073,SN1X1,SN1X1_193747,paper,design1,sold_used,2023-03-03,0.0,2023-02-20 09:58:00,,2023-03-03,,,,193747
264,,,23710655,VEF30,VEF30_2511121,electronic,design1,sold_used,2023-03-09,6200.0,2023-02-20 12:13:00,,2023-03-09,,,,2511121
277,,,23714931,SN2X1,SN2X1_122985,paper,design1,sold_used,2023-10-03,9000.0,2023-02-22 12:04:00,,2023-10-03,,,,122985
383,,,23749387,SN2X1,SN2X1_146289,paper,design1,,,9000.0,2023-02-28 10:08:00,,,,,,146289
399,,,23612531,VWS60,VWS60_2523747,electronic,design1,,,8500.0,2023-03-02 19:37:00,,,,,,2523747
404,,,23788151,VWS20,VWS20_2660744,electronic,design1,sold_used,2023-08-15,3300.0,2023-03-03 15:18:00,,2023-08-15,,,,2660744
429,,,24210987,VWS60,VWS60_2978507,electronic,design1,sold_used,2023-08-19,8500.0,2023-04-05 11:39:00,,2023-08-19,,,,2978507
444,,,24713085,VEF30,VEF30_3489794,electronic,design1,sold_used,2023-06-07,6200.0,2023-03-07 12:22:00,,2023-06-07,,,,3489794
472,,,25495625,VSG7,VSG7_4172411,electronic,design1,,,7000.0,2023-03-10 10:32:00,,,,,,4172411
487,,,23852821,WS60,WS60_234563,paper,design1,sold_used,2023-09-07,,2023-03-15 07:39:00,,2023-09-07,,,,234563
492,,,23869621,WSN60,WSN60_270145,paper,design1,sold_used,2023-05-08,10000.0,2023-03-17 16:11:00,,2023-05-08,,,,270145
503,,,23885027,WS60,WS60_273808,paper,design1,,,,2023-03-20 21:18:00,,,,,,273808
518,,,23908435,WS20,WS20_188511,paper,design1,sold_used,2023-12-08,3300.0,2023-03-22 14:57:00,,2023-12-08,,,,188511
522,,,23918309,VWS20,VWS20_2756849,electronic,design1,sold_used,2023-08-17,3600.0,2023-03-25 10:04:00,,2023-08-17,,,,2756849
523,,,23918655,VWS20,VWS20_2763889,electronic,design1,sold_used,2023-08-17,3600.0,2023-03-22 14:29:00,,2023-08-17,,,,2763889
524,,,23918783,VWS20,VWS20_2752147,electronic,design1,sold_used,2023-08-17,3600.0,2023-03-22 14:38:00,,2023-08-17,,,,2752147
526,,,23919421,WS20,WS20_188196,paper,design1,,,3300.0,2023-03-22 16:08:00,,,,,,188196
537,,,23931737,EF30,EF30_259055,paper,design1,,,6200.0,2023-03-27 16:00:00,,,,,,259055
538,,,23931953,EF30,EF30_190931,paper,design1,sold_used,2023-02-07,6200.0,2023-03-27 16:00:00,,2023-02-07,,,,190931
551,,,23942865,VWS60,VWS60_2873370,electronic,design1,sold_used,2023-08-18,8500.0,2023-03-26 18:16:00,,2023-08-18,,,,2873370
553,,,23959347,VWS60,VWS60_2870241,electronic,design1,sold_used,2023-04-08,10200.0,2023-03-28 18:57:00,,2023-04-08,,,,2870241
560,,,23965909,VHB20,VHB20_2816516,electronic,design1,,,3700.0,2023-03-29 16:38:00,,,,,,2816516
562,,,23967057,WS20,WS20_164862,paper,design1,sold_used,2023-10-09,3300.0,2023-03-30 13:39:00,,2023-10-09,,,,164862
605,,,24463739,WS60,WS60_287654,paper,design1,sold_used,2023-10-08,,2023-05-06 18:51:00,,2023-10-08,,,,287654
614,,,24721963,WS60,WS60_216485,paper,design1,sold_used,2023-10-08,,2023-05-07 22:04:00,,2023-10-08,,,,216485
624,,,24989577,WS20,WS20_171166,paper,design1,,,3300.0,2023-09-08 10:29:00,,,,,,171166
644,,,25233951,VWS20,VWS20_4019308,electronic,design1,,,3800.0,2023-04-09 18:50:00,,,,,,4019308
665,,,24072407,VEF30,VEF30_2824865,electronic,design1,sold_used,2023-08-18,6200.0,2023-04-13 20:02:00,,2023-08-18,,,,2824865
675,,,24083997,WS60,WS60_281405,paper,design1,sold_used,2023-08-19,,2023-04-17 20:33:00,,2023-08-19,,,,281405
676,,,24084061,WS60,WS60_226292,paper,design1,sold_used,2023-12-08,,2023-04-17 20:34:00,,2023-12-08,,,,226292
685,,,24092835,WS60,WS60_253241,paper,design1,sold_used,2023-05-08,,2023-04-17 12:05:00,,2023-05-08,,,,253241
694,,,24104865,KR4,KR4_149825,paper,design1,sold_used,2023-09-07,5200.0,2023-04-21 05:36:00,,2023-09-07,,,,149825
705,,,24121405,HB20,HB20_156614,paper,design1,,,3700.0,2023-04-21 15:03:00,,,,,,156614
716,,,24125407,KR4,KR4_276901,paper,design1,,,5200.0,2023-04-24 21:27:00,,,,,,276901
738,,,24144735,KR4,KR4_174682,paper,design1,sold_used,2023-09-30,5200.0,2023-04-25 13:19:00,,2023-09-30,,,,174682
762,,,24177210,WS60,WS60_297891,paper,design1,,,,2023-01-05 12:22:00,,,,,,297891
769,,,24183178,WSN60,WSN60_276133,paper,design1,,,10000.0,2023-01-05 12:22:00,,,,,,276133
772,,,24184388,WSN60,WSN60_221912,paper,design1,,,10000.0,2023-04-29 17:24:00,,,,,,221912
776,,,24187144,VWS20,VWS20_2982949,electronic,design1,sold_used,2023-08-19,3000.0,2023-04-30 11:11:00,,2023-08-19,,,,2982949
793,,,24013075,WSN60,WSN60_253460,paper,design1,,,10000.0,2023-06-04 15:51:00,,,,,,253460
804,,,24468269,VWS20,VWS20_3236068,electronic,design1,,,3800.0,2023-05-06 11:15:00,,,,,,3236068
806,,,24469149,VFR2,VFR2_3266443,electronic,design1,sold_used,2023-06-10,10000.0,2023-05-06 11:52:00,,2023-06-10,,,,3266443
827,,,24734827,WS20,WS20_178775,paper,design1,,,3300.0,2023-10-07 15:39:00,,,,,,178775
866,,,24290203,KR2,KR2_210433,paper,design1,,,3000.0,2023-05-16 13:54:00,,,,,,210433
869,,,24291389,VWS60,VWS60_3089017,electronic,design1,sold_used,2023-08-17,8500.0,2023-05-13 16:55:00,,2023-08-17,,,,3089017
872,,,24291535,VWS60,VWS60_3025824,electronic,design1,sold_used,2023-04-08,10000.0,2023-05-13 21:36:00,,2023-04-08,,,,3025824
873,,,24292285,VWS60,VWS60_3094616,electronic,design1,sold_used,2023-07-08,10000.0,2023-05-13 21:37:00,,2023-07-08,,,,3094616
875,,,24294657,VWS20,VWS20_3031081,electronic,design1,sold_used,2023-07-08,3600.0,2023-05-14 14:55:00,,2023-07-08,,,,3031081
880,,,24300533,VWS20,VWS20_3091988,electronic,design1,,,3000.0,2023-05-15 11:17:00,,,,,,3091988
888,,,24308797,WS60,WS60_227205,paper,design1,,,,2023-05-16 15:50:00,,,,,,227205
898,,,24314551,VHB20,VHB20_3053060,electronic,design1,,,3700.0,2023-05-16 18:01:00,,,,,,3053060
903,,,24319465,KR2,KR2_270259,paper,design1,sold_used,2023-10-21,3000.0,2023-05-18 14:10:00,,2023-10-21,,,,270259
907,,,24321529,WS20,WS20_173879,paper,design1,sold_used,2023-08-20,3300.0,2023-05-19 13:42:00,,2023-08-20,,,,173879
909,,,24322965,VWSN60,VWSN60_3081861,electronic,design1,sold_used,2023-06-08,10000.0,2023-05-17 16:54:00,,2023-06-08,,,,3081861
912,,,24324573,WS60,WS60_254347,paper,design1,sold_used,2023-06-18,,2023-05-18 11:43:00,,2023-06-18,,,,254347
928,,,24343905,VWSN60,VWSN60_3026013,electronic,design1,sold_used,2023-09-24,10000.0,2023-05-19 14:53:00,,2023-09-24,,,,3026013
929,,,24345659,VWS60,VWS60_3041266,electronic,design1,,,8500.0,2023-05-19 18:29:00,,,,,,3041266
931,,,24345717,VUN,VUN_3015355,electronic,design1,sold_used,2023-05-22,7000.0,2023-05-19 19:55:00,,2023-05-22,,,,3015355
937,,,24349797,KR2,KR2_235393,paper,design1,sold_used,2023-10-14,3000.0,2023-05-20 16:34:00,,2023-10-14,,,,235393
941,,,24350265,VWS20,VWS20_3073247,electronic,design1,,,3000.0,2023-05-20 17:38:00,,,,,,3073247
973,,,24362083,WS60,WS60_218846,paper,design1,,,,2023-05-23 12:32:00,,,,,,218846
993,,,24372639,WS60,WS60_227593,paper,design1,,,8500.0,2023-05-24 16:07:00,,,,,,227593
994,,,24383127,VWS60,VWS60_3142583,electronic,design1,,,8500.0,2023-05-24 14:44:00,,,,,,3142583
1003,,,24387979,KR4,KR4_118398,paper,design1,,,5500.0,2023-05-26 08:44:00,,,,,,118398
1020,,,24396491,VEF30,VEF30_3130133,electronic,design1,,,5500.0,2023-05-26 11:45:00,,,,,,3130133
1023,,,24398485,VEF30,VEF30_3129088,electronic,design1,,,5500.0,2023-05-26 14:47:00,,,,,,3129088
1029,,,24400591,KR2,KR2_290261,paper,design1,,,3000.0,2023-05-27 14:41:00,,,,,,290261
1045,,,24407045,VWS60,VWS60_3418422,electronic,design1,sold_used,2023-01-07,10200.0,2023-05-28 11:19:00,,2023-01-07,,,,3418422
1047,,,24407599,WS60,WS60_294547,paper,design1,,,,2023-05-31 17:51:00,,,,,,294547
1049,,,24407959,VWS20,VWS20_3198946,electronic,design1,sold_used,2023-03-09,3000.0,2023-05-28 14:40:00,,2023-03-09,,,,3198946
1056,,,24409907,VWS20,VWS20_3194098,electronic,design1,,,3000.0,2023-05-28 22:02:00,,,,,,3194098
1059,,,22117669,VWS20,VWS20_3136172,electronic,design1,sold_used,2023-08-07,3000.0,2022-04-07 16:28:00,,2023-08-07,,,,3136172
1066,,,24397791,EF30,EF30_290942,paper,design1,,,5500.0,2023-05-26 13:31:00,,,,,,290942
1091,,,24435359,KR2,KR2_254645,paper,design1,,,3000.0,2023-05-31 15:19:00,,,,,,254645
1094,,,24436793,WS60,WS60_258680,paper,design1,,,,2023-05-31 19:36:00,,,,,,258680
1099,,,24437483,WS20,WS20_168631,paper,design1,,,3300.0,2023-05-31 19:08:00,,,,,,168631
1114,,,23789255,WS60,WS60_245936,paper,design1,,,8500.0,2023-03-03 15:16:00,,,,,,245936
1120,,,23810559,WSN60,WSN60_218953,paper,design1,,,10000.0,2023-10-03 22:05:00,,,,,,218953
1207,,,24559751,KR4,KR4_116759,paper,design1,,,5500.0,2023-06-14 17:43:00,,,,,,116759
1218,,,24571717,VEF30,VEF30_3368762,electronic,design1,,,6200.0,2023-06-15 16:30:00,,,,,,3368762
1243,,,24580183,EF30,EF30_271446,paper,design1,,,6200.0,2023-06-19 17:54:00,,,,,,271446
1244,,,24580195,EF30,EF30_226935,paper,design1,,,6200.0,2023-06-19 17:53:00,,,,,,226935
1247,,,24560639,WS60,WS60_271207,paper,design1,,,,2023-06-16 18:42:00,,,,,,271207
1262,,,24584857,WS60,WS60_263514,paper,design1,sold_used,2023-01-07,,2023-06-20 17:58:00,,2023-01-07,,,,263514
1270,,,24587353,WS60,WS60_291005,paper,design1,sold_used,2023-12-09,9600.0,2023-06-18 13:10:00,,2023-12-09,,,,291005
1280,,,24592667,WS60,WS60_278462,paper,design1,sold_used,2023-08-26,,2023-06-20 18:04:00,,2023-08-26,,,,278462
1290,,,24596539,ES130,ES130_164358,paper,design1,,,0.0,2023-06-21 23:01:00,,,,,,164358
1298,,,24602149,VEF30,VEF30_3377131,electronic,design1,sold_used,2023-05-08,6000.0,2023-06-20 10:57:00,,2023-05-08,,,,3377131
1299,,,24602291,VHB20,VHB20_3398237,electronic,design1,,,5500.0,2023-06-20 11:12:00,,,,,,3398237
1308,,,24606011,WS60,WS60_292451,paper,design1,sold_used,2023-08-20,,2023-06-21 16:38:00,,2023-08-20,,,,292451
1319,,,24612383,VEF30,VEF30_3383608,electronic,design1,,,6000.0,2023-06-21 14:16:00,,,,,,3383608
1323,,,24614375,ES130,ES130_112723,paper,design1,sold_used,2023-08-07,0.0,2023-06-24 10:12:00,,2023-08-07,,,,112723
1352,,,24633295,VWS20,VWS20_3488288,electronic,design1,,,3600.0,2023-06-23 15:08:00,,,,,,3488288
1382,,,24645395,VHB20,VHB20_3454260,electronic,design1,sold_used,2023-09-09,6000.0,2023-06-25 13:03:00,,2023-09-09,,,,3454260
1395,,,24653591,EF30,EF30_223160,paper,design1,,,6000.0,2023-06-27 18:41:00,,,,,,223160
1407,,,24656289,WS20,WS20_159830,paper,design1,sold_used,2023-08-21,3300.0,2023-06-28 23:22:00,,2023-08-21,,,,159830
1414,,,24664459,SG7,SG7_13506,paper,design1,,,7000.0,2023-06-29 21:59:00,,,,,,13506
1420,,,24665969,WSN60,WSN60_272802,paper,design1,sold_used,2023-09-07,10000.0,2023-04-07 14:10:00,,2023-09-07,,,,272802
