"Id","Code","Prefix","Activity Name","Activity Marketing Name","Activity Value","Activity Value Marketing","Card Type","Design Type","Sale Date","Expiry Date","Card Used Date","Status","Created At"
"2","AC2 9000022","AC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","paper","design2","","","","sold_expired","01.12.2023"
"3","VRB15 4000039","VRB15","Авиа Вертолёт","Полёт на вертолёте","15 минут полёта на вертолёте","15 минут полёта на вертолете Robinson R44 от 1 до 3 человек.","electronic","design3","06.12.2023","06.12.2024","","sold_active","01.12.2023"
"4","VRB15 6000042","VRB15","Авиа Вертолёт","Полёт на вертолёте","15 минут полёта на вертолёте","15 минут полёта на вертолете Robinson R44 от 1 до 3 человек.","electronic","design3","","","","sold_active","01.12.2023"
"6","AC2 0000055","AC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","paper","design1","","","","sold_cancelled","04.12.2023"
"7","AC2 4000071","AC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","paper","design1","","","","sold_active","04.12.2023"
"8","VAC2 5000086","VAC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design2","","","","null_status","04.12.2023"
"9","VAC60 7000092","VAC60","Авиа Авиатренажёр","Авиатренажёр","60 минут полёта","60 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design1","","","","sold_active","04.12.2023"
"11","VBG 0000111","VBG","Багги","Заезд на багги","20 минутный заезд на багги по трассе","20 минутный заезд на багги по трассе для 1 человека за рулем + 1 пассажир.","electronic","design1","","","","null_status","07.12.2023"
"14","VOWI 4000122","VOWI","Дайвинг","Обучение дайвингу","Курс Open Water Diver индивидуальный","Индивидуальное обучение с инструктором.","electronic","design1","","","","null_status","07.12.2023"
"15","VOWI 2000151","VOWI","Дайвинг","Обучение дайвингу","Курс Open Water Diver индивидуальный","Индивидуальное обучение с инструктором.","electronic","design1","","","","null_status","07.12.2023"
"16","VEFL30 5000165","VEFL30","Электрофойл","Катание на электрофойле с инструктором","1 час катания на электрофойле","1 час катания на электрофойле с инструктором для 1-2 человек.","electronic","design1","","","","sold_cancelled","07.12.2023"
"17","VAC2 3000175","VAC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design1","","","","null_status","07.12.2023"
"18","VAC2 6000189","VAC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design1","","","","null_status","07.12.2023"
"19","VAC2 8000196","VAC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design1","","","","null_status","07.12.2023"
"20","VAC2 0000207","VAC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design1","","","","null_status","07.12.2023"
"21","VAC2 0000211","VAC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design1","","","","null_status","07.12.2023"
"22","VOWG 0000221","VOWG","Дайвинг","Обучение дайвингу","Курс Open Water Diver в группе","5 практических занятия в бассейне и 5 теоритетических занятия с тренером в группе.","electronic","design2","","","","null_status","07.12.2023"
"23","VBG 8000237","VBG","Багги","Заезд на багги","20 минутный заезд на багги по трассе","20 минутный заезд на багги по трассе для 1 человека за рулем + 1 пассажир.","electronic","design1","","","","null_status","07.12.2023"
"24","VBG 7000243","VBG","Багги","Заезд на багги","20 минутный заезд на багги по трассе","20 минутный заезд на багги по трассе для 1 человека за рулем + 1 пассажир.","electronic","design1","","","","null_status","07.12.2023"
"25","VBG 1000250","VBG","Багги","Заезд на багги","20 минутный заезд на багги по трассе","20 минутный заезд на багги по трассе для 1 человека за рулем + 1 пассажир.","electronic","design1","","","","null_status","07.12.2023"
"26","VSH 9000264","VSH","Флоу Райд","Занятие по сёрфингу на искусственной волне типа FlowRider","Час катания на 1 участника в группе","Часовая тренировка на искуственной волне типа FlowRider для 1 человека в группе.","electronic","design1","","","","null_status","07.12.2023"
"27","VKV1X1 0000279","VKV1X1","Квадроциклы","Катание на квадроцикле","1 квадроцикл на час без пассажира","1 час управления квадроциклом для 1 человека.","electronic","design1","","","","sold_cancelled","08.12.2023"
"28","VSU24 1000289","VSU24","САП-сёрф","Прогулка на сапборде","Сап-сёрф для двоих на весь день","Катание на Сап-серфах целый день для двоих.","electronic","design1","","","","on_delivery","08.12.2023"
"29","VSU24 6000298","VSU24","САП-сёрф","Прогулка на сапборде","Сап-сёрф для двоих на весь день","Катание на Сап-серфах целый день для двоих.","electronic","design1","","","","sold_used","08.12.2023"
"30","VSU24 8000303","VSU24","САП-сёрф","Прогулка на сапборде","Сап-сёрф для двоих на весь день","Катание на Сап-серфах целый день для двоих.","electronic","design1","08.12.2023","31.07.2024","09.12.2023","sold_cancelled","08.12.2023"
"31","YEР 0000314","YEР","Квест Комната Ярости","Сеанс в комнате ярости","30 минут комнаты ярости от 2 до 3 участников","30 минутный сеанс в комнате ярости для 1-3 человек.
Тариф на выбор: Easy или ""Бей посуду""","paper","design1","08.12.2023","08.12.2024","08.12.2023","sold_active","08.12.2023"
"32","YEР 6000324","YEР","Квест Комната Ярости","Сеанс в комнате ярости","30 минут комнаты ярости от 2 до 3 участников","30 минутный сеанс в комнате ярости для 1-3 человек.
Тариф на выбор: Easy или ""Бей посуду""","paper","design1","","","","sold_active","08.12.2023"
"33","YEР 3000335","YEР","Квест Комната Ярости","Сеанс в комнате ярости","30 минут комнаты ярости от 2 до 3 участников","30 минутный сеанс в комнате ярости для 1-3 человек.
Тариф на выбор: Easy или ""Бей посуду""","paper","design1","","","","sold_expired","08.12.2023"
"34","HB_1 8000349","HB_1","Ховерборд","Полёт на ховерборде","Test value","Test marketing value","paper","design1","11.12.2023","11.06.2024","","null_status","11.12.2023"
"35","HB_1 0000351","HB_1","Ховерборд","Полёт на ховерборде","Test value","Test marketing value","paper","design1","31.12.2023","01.07.2024","","null_status","11.12.2023"
"36","HB_1 6000367","HB_1","Ховерборд","Полёт на ховерборде","Test value","Test marketing value","paper","design1","30.11.2023","30.05.2024","","null_status","11.12.2023"
"37","AC2 9000372","AC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","paper","design1","01.01.2023","01.01.2024","","null_status","11.12.2023"
"38","AC2 2000387","AC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","paper","design1","","","","null_status","11.12.2023"
"39","AC2 3000397","AC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","paper","design1","","","","null_status","11.12.2023"
"40","VAC2 0000408","VAC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design1","10.12.2023","10.12.2024","","crds_pickup","11.12.2023"
"41","VAC2 9000412","VAC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design1","","","","crds_pickup","11.12.2023"
"42","VAC2 1000428","VAC2","Авиа Авиатренажёр","Авиатренажёр","120 минут полёта","120 минут управления авиатренажёром Cessna 172 с инструктором для компании от 1 до 3 человек.","electronic","design1","","","","crds_pickup","11.12.2023"
"43","VEB1x 4000438","VEB1x","Мото Электробайк","Заезд на электробайке","1 заезд для 1 человека в группе","Заезд 1,5 часа на электробайке для 1 человека в группе.","electronic","design1","11.12.2023","11.12.2024","","crds_pickup","11.12.2023"
"44","VEB1x 7000445","VEB1x","Мото Электробайк","Заезд на электробайке","1 заезд для 1 человека в группе","Заезд 1,5 часа на электробайке для 1 человека в группе.","electronic","design1","","","","crds_pickup","11.12.2023"
"45","VEB1x 3000459","VEB1x","Мото Электробайк","Заезд на электробайке","1 заезд для 1 человека в группе","Заезд 1,5 часа на электробайке для 1 человека в группе.","electronic","design1","","","","crds_pickup","11.12.2023"
"46","VEFL30 5000461","VEFL30","Электрофойл","Катание на электрофойле с инструктором","1 час катания на электрофойле","1 час катания на электрофойле с инструктором для 1-2 человек.","electronic","design1","31.07.2023","31.07.2024","","crds_pickup","11.12.2023"
"47","VEFL30 5000478","VEFL30","Электрофойл","Катание на электрофойле с инструктором","1 час катания на электрофойле","1 час катания на электрофойле с инструктором для 1-2 человек.","electronic","design1","01.08.2023","31.07.2024","","crds_pickup","11.12.2023"
"48","VEFL30 4000480","VEFL30","Электрофойл","Катание на электрофойле с инструктором","1 час катания на электрофойле","1 час катания на электрофойле с инструктором для 1-2 человек.","electronic","design1","01.02.2024","31.07.2025","","crds_pickup","11.12.2023"
"49","VSN1X 4000498","VSN1X","Снегоходы","Катание на снегоходе","1 час на 1 снегоходе","1 час катания на снегоходе для 1-2 человек.","electronic","design1","01.10.2023","01.04.2024","","crds_pickup","11.12.2023"
"50","VSN1X 0000506","VSN1X","Снегоходы","Катание на снегоходе","1 час на 1 снегоходе","1 час катания на снегоходе для 1-2 человек.","electronic","design1","30.01.2024","30.01.2025","","null_status","11.12.2023"
"51","VSN1X 1000512","VSN1X","Снегоходы","Катание на снегоходе","1 час на 1 снегоходе","1 час катания на снегоходе для 1-2 человек.","electronic","design1","01.02.2023","30.01.2024","","null_status","11.12.2023"
"52","VSN2X 1000525","VSN2X","Снегоходы","Катание на снегоходе","2 cнегохода на 1 час или 1 снегоход на 2 часа","2 часа катания на одном снегоходе или 1 час катания на двух снегоходах для 2-4 человек.","electronic","design1","30.10.2023","30.04.2024","","null_status","11.12.2023"
"53","VSN2X 5000538","VSN2X","Снегоходы","Катание на снегоходе","2 cнегохода на 1 час или 1 снегоход на 2 часа","2 часа катания на одном снегоходе или 1 час катания на двух снегоходах для 2-4 человек.","electronic","design1","","","","null_status","11.12.2023"
"54","VSN2X 2000547","VSN2X","Снегоходы","Катание на снегоходе","2 cнегохода на 1 час или 1 снегоход на 2 часа","2 часа катания на одном снегоходе или 1 час катания на двух снегоходах для 2-4 человек.","electronic","design1","","","","null_status","11.12.2023"
