"Источник трафика","Источник трафика (детально)","Тип площадки","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Количество покупок","Доход, RUB","Доля посетителей, совершивших заказ"
"Итого и средние","","","32235","26889","0.1659376454164728","2.2334729331472003","00:02:29","513","4599566.0","0.01565696009520622"
"Переходы по рекламе","Яндекс: Директ","Поиск","11281","9889","0.20645332860562007","2.126673167272405","00:02:05","114","1367046.0","0.010112245929821012"
"Переходы из поисковых систем","Google","Не определено","6891","5420","0.17341459875199536","2.5363517631693515","00:03:10","199","1475662.0","0.03025830258302583"
"Переходы из поисковых систем","Яндекс","Не определено","5005","4396","0.09290709290709291","2.1392607392607395","00:02:40","71","476338.0","0.0129663330300273"
"Прямые заходы","Не определено","Не определено","4383","3817","0.13415468856947296","2.266255989048597","00:02:23","71","695179.0","0.016243122871364948"
"Внутренние переходы","Не определено","Не определено","1058","853","0.17958412098298676","2.279773156899811","00:01:52","17","177200.0","0.017584994138335287"
"Переходы по рекламе","Другая реклама: определено по меткам","Не определено","1026","999","0.04191033138401559","1.661793372319688","00:01:55","4","41456.0","0.002002002002002002"
"Переходы по рекламе","Яндекс: Директ","Не определено","717","650","0.18549511854951187","2.1450488145048814","00:01:50","2","46500.0","0.003076923076923077"
"Переходы по рекламе","Яндекс: Директ","Сети","490","452","0.3306122448979592","1.379591836734694","00:01:13","0","0.0","0.0"
"Переходы по рекламе","Яндекс.Директ: Не определено","Не определено","398","313","0.2562814070351759","1.9170854271356783","00:02:11","7","86100.0","0.01597444089456869"
"Переходы по ссылкам на сайтах","mosflygift.amocrm.ru","Не определено","183","5","0.005464480874316941","3.7049180327868854","00:06:53","3","32940.0","0.4"
"Переходы из социальных сетей","ВКонтакте","Не определено","89","76","0.20224719101123592","2.359550561797753","00:03:11","5","22890.0","0.06578947368421052"
"Переходы по ссылкам на сайтах","mosfly2.server.paykeeper.ru","Не определено","82","43","0.1951219512195122","1.451219512195122","00:01:36","0","0.0","0.0"
"Переходы из поисковых систем","Bing","Не определено","67","65","0.08955223880597014","1.671641791044776","00:01:35","1","23456.0","0.015384615384615385"
"Переходы по ссылкам на сайтах","trikeland.ru","Не определено","66","46","0.2878787878787879","1.9090909090909092","00:03:17","5","32500.0","0.08695652173913043"
"Переходы из поисковых систем","Mail.ru","Не определено","63","63","0.047619047619047616","1.746031746031746","00:02:07","0","0.0","0.0"
"Переходы из мессенджеров","Telegram","Не определено","63","21","0.07936507936507936","3.6507936507936507","00:08:26","12","112999.0","0.09523809523809523"
"Переходы по ссылкам на сайтах","direct.yandex.ru","Не определено","59","3","0.11864406779661017","9.101694915254237","00:10:37","0","0.0","0.0"
"Переходы по ссылкам на сайтах","katrinart.ru","Не определено","54","52","0.3148148148148148","1.3518518518518519","00:00:56","0","0.0","0.0"
"Переходы по ссылкам на сайтах","moswake.ru","Не определено","27","21","0.037037037037037035","2.0","00:01:51","0","0.0","0.0"
"Переходы из социальных сетей","Другая социальная сеть: определено по меткам","Не определено","27","25","0.07407407407407407","2.6666666666666665","00:01:59","0","0.0","0.0"
"Переходы из социальных сетей","Одноклассники","Не определено","26","26","0.038461538461538464","1.7307692307692308","00:02:03","0","0.0","0.0"
"Переходы по ссылкам на сайтах","24news24.ru","Не определено","22","1","0.045454545454545456","3.5","00:07:50","0","0.0","0.0"
"Переходы из рекомендательных систем","Дзен","Не определено","16","15","0.25","2.0","00:01:07","0","0.0","0.0"
"Переходы по ссылкам на сайтах","e.mail.ru","Не определено","15","15","0.06666666666666667","2.533333333333333","00:03:07","0","0.0","0.0"
"Переходы по ссылкам на сайтах","yandex.ru","Не определено","10","8","0.2","3.0","00:04:24","0","0.0","0.0"
"Переходы по ссылкам на сайтах","followish.io","Не определено","9","7","0.2222222222222222","1.6666666666666667","00:01:58","1","4000.0","0.14285714285714285"
"Переходы по ссылкам на сайтах","youtube.com","Не определено","7","7","0.42857142857142855","1.7142857142857142","00:02:37","0","0.0","0.0"
"Переходы из социальных сетей","instagram.com","Не определено","6","6","0.16666666666666663","2.5","00:02:30","0","0.0","0.0"
"Переходы по ссылкам на сайтах","avito.ru","Не определено","5","5","0.6","1.4","00:02:22","0","0.0","0.0"
"Переходы по ссылкам на сайтах","kwork.ru","Не определено","5","4","0.6","1.0","00:00:05","0","0.0","0.0"
"Переходы из поисковых систем","DuckDuckGo","Не определено","5","5","0.4","1.6","00:01:24","0","0.0","0.0"
"Переходы из поисковых систем","Yahoo!","Не определено","5","2","0.0","2.4","00:09:14","1","5300.0","0.5"
"Переходы по ссылкам на сайтах","android-app","Не определено","4","4","0.0","1.75","00:09:38","0","0.0","0.0"
"Переходы по рекламе","Google Ads","Не определено","4","3","0.5","1.5","00:00:04","0","0.0","0.0"
"Переходы из социальных сетей","Facebook","Не определено","4","4","1.0","1.0","00:00:00","0","0.0","0.0"
"Переходы по ссылкам на сайтах","tilda.cc","Не определено","3","1","0.6666666666666665","4.333333333333333","00:02:51","0","0.0","0.0"
"Переходы по ссылкам на сайтах","wishbox.app","Не определено","3","2","0.6666666666666665","2.0","00:00:22","0","0.0","0.0"
"Переходы из поисковых систем","Baidu","Не определено","3","3","0.0","1.0","00:00:02","0","0.0","0.0"
"Переходы из поисковых систем","Другая поисковая система: определено по меткам","Не определено","3","3","0.0","1.6666666666666667","00:00:14","0","0.0","0.0"
"Переходы по ссылкам на сайтах","amo.si","Не определено","2","2","0.0","2.5","00:00:30","0","0.0","0.0"
"Переходы по ссылкам на сайтах","gogetlinks.net","Не определено","2","1","0.0","2.0","00:10:28","0","0.0","0.0"
"Переходы по ссылкам на сайтах","link.2gis.ru","Не определено","2","2","0.0","1.0","00:14:27","0","0.0","0.0"
"Переходы по ссылкам на сайтах","mail.rambler.ru","Не определено","2","2","0.0","8.5","00:08:17","0","0.0","0.0"
"Переходы по ссылкам на сайтах","mediaprofit.bitrix24.ru","Не определено","2","1","1.0","1.0","00:00:00","0","0.0","0.0"
"Переходы по ссылкам на сайтах","strananaladoni.ru","Не определено","2","1","0.0","6.0","00:06:25","0","0.0","0.0"
"Переходы по ссылкам на сайтах","tagassistant.google.com","Не определено","2","1","0.0","6.0","00:10:10","0","0.0","0.0"
"Переходы по ссылкам на сайтах","taplink.cc","Не определено","2","2","0.5","1.0","00:00:07","0","0.0","0.0"
"Переходы по ссылкам на сайтах","ans63znyj6vzogww_myt_801_3db9dec96782b69a153b3e7f44e8f548.onlyoffice.disk.yandex.net","Не определено","1","1","0.0","1.0","00:00:15","0","0.0","0.0"
"Переходы по ссылкам на сайтах","apsolyamov.ru","Не определено","1","1","0.0","1.0","00:11:20","0","0.0","0.0"
"Переходы по ссылкам на сайтах","career.habr.com","Не определено","1","1","0.0","2.0","00:00:34","0","0.0","0.0"
"Переходы по ссылкам на сайтах","citytravels.ru","Не определено","1","1","0.0","2.0","00:00:17","0","0.0","0.0"
"Переходы по ссылкам на сайтах","cloud.roistat.com","Не определено","1","1","1.0","1.0","00:00:00","0","0.0","0.0"
"Переходы по ссылкам на сайтах","contragentng.cdek.ru","Не определено","1","1","0.0","2.0","00:01:18","0","0.0","0.0"
"Переходы по ссылкам на сайтах","empire-disk.ru","Не определено","1","1","0.0","2.0","00:02:38","0","0.0","0.0"
"Переходы по ссылкам на сайтах","farpost.ru","Не определено","1","1","1.0","1.0","00:00:03","0","0.0","0.0"
"Переходы по ссылкам на сайтах","gim7.edumsko.ru","Не определено","1","1","0.0","1.0","00:00:38","0","0.0","0.0"
"Переходы по ссылкам на сайтах","gotovimka.ru","Не определено","1","1","0.0","4.0","00:02:46","0","0.0","0.0"
"Переходы по ссылкам на сайтах","hipdir.com","Не определено","1","1","1.0","1.0","00:00:01","0","0.0","0.0"
"Переходы по ссылкам на сайтах","iframe-yang.yandex","Не определено","1","1","1.0","1.0","00:00:00","0","0.0","0.0"
"Переходы по ссылкам на сайтах","igroblox.ru","Не определено","1","1","0.0","1.0","00:00:32","0","0.0","0.0"
"Переходы по ссылкам на сайтах","internet-start.net","Не определено","1","1","0.0","1.0","00:00:16","0","0.0","0.0"
"Переходы по ссылкам на сайтах","lilianishoes.ru","Не определено","1","1","0.0","4.0","00:02:02","0","0.0","0.0"
"Переходы по ссылкам на сайтах","mail.ru","Не определено","1","1","0.0","1.0","00:02:11","0","0.0","0.0"
"Переходы по ссылкам на сайтах","metrika.yandex.ru","Не определено","1","1","0.0","5.0","00:25:06","0","0.0","0.0"
"Переходы по ссылкам на сайтах","moskva.tradedir.ru","Не определено","1","1","0.0","2.0","00:00:30","0","0.0","0.0"
"Переходы по ссылкам на сайтах","nova.rambler.ru","Не определено","1","1","0.0","1.0","00:00:27","0","0.0","0.0"
"Переходы по ссылкам на сайтах","orto.su","Не определено","1","1","0.0","1.0","00:00:29","0","0.0","0.0"
"Переходы по ссылкам на сайтах","piterpolet.com","Не определено","1","1","0.0","4.0","00:02:06","0","0.0","0.0"
"Переходы по ссылкам на сайтах","portal.illan.ru","Не определено","1","1","1.0","1.0","00:00:01","0","0.0","0.0"
"Переходы по ссылкам на сайтах","project8271821.tilda.ws","Не определено","1","1","1.0","1.0","00:00:01","0","0.0","0.0"
"Переходы по ссылкам на сайтах","ptwnaalzdbxubdu4_sas_805_49dfd79c7d69bcad047d7d4d59c6d387.onlyoffice.disk.yandex.net","Не определено","1","1","0.0","6.0","00:01:21","0","0.0","0.0"
"Переходы по ссылкам на сайтах","qx9.ru","Не определено","1","1","1.0","1.0","00:00:00","0","0.0","0.0"
"Переходы по ссылкам на сайтах","rx24.ru","Не определено","1","1","0.0","1.0","00:00:19","0","0.0","0.0"
"Переходы по ссылкам на сайтах","statics.teams.cdn.office.net","Не определено","1","1","0.0","7.0","00:02:46","0","0.0","0.0"
"Переходы по ссылкам на сайтах","weixin110.qq.com","Не определено","1","1","0.0","3.0","00:02:50","0","0.0","0.0"
"Переходы по ссылкам на сайтах","xmwb6ustyn63tobw_sas_805_c0b4e2e68c442ab85dd71f8a0d8c42b9.onlyoffice.disk.yandex.net","Не определено","1","1","1.0","1.0","00:00:02","0","0.0","0.0"
"Переходы по ссылкам на сайтах","xraycars.ru","Не определено","1","1","0.0","2.0","00:00:10","0","0.0","0.0"
"Переходы по ссылкам на сайтах","ya.ru","Не определено","1","1","1.0","1.0","00:00:01","0","0.0","0.0"
"Переходы по ссылкам на сайтах","yachtingacademy.bitrix24.ru","Не определено","1","1","0.0","8.0","00:05:54","0","0.0","0.0"
"Переходы из поисковых систем","Rambler","Не определено","1","1","0.0","3.0","00:00:41","0","0.0","0.0"
"Не определено","Не определено","Не определено","1","1","1.0","1.0","00:00:00","0","0.0","0.0"
"Переходы по QR-коду","QR-коды: Яндекс","Не определено","1","1","1.0","1.0","00:00:01","0","0.0","0.0"
